Month	Products	Stars_5	Stars_4	Stars_3	Stars_2	Stars_1	not_rated
Jan	Product 12	255	5733	3878	351	504	1489
Feb	Product 12	277	6613	3816	352	380	1617
Mar	Product 12	272	7278	4518	523	475	1949
Apr	Product 12	181	5311	3550	383	330	1853
May	Product 12	301	5885	3231	396	421	2050
Jun	Product 12	259	5436	3115	456	301	2273
Jul	Product 12	220	5081	3555	361	285	2414
Aug	Product 12	133	3716	2511	224	231	2052
Sept	Product 12	401	8838	3339	430	255	2477
Oct	Product 12	373	8395	3549	449	273	2462
Nov	Product 12	302	8857	3590	651	266	2020
Dec	Product 12	298	8442	3274	479	243	2041
Jan	Product 19	9	163	131	34	87	134
Feb	Product 19	2	229	165	53	60	95
Mar	Product 19	16	297	199	47	25	68
Apr	Product 19	4	296	151	121	61	51
May	Product 19	10	368	158	61	34	36
Jun	Product 19	5	263	174	83	13	42
Jul	Product 19	8	186	235	35	22	33
Aug	Product 19	2	149	120	16	32	12
Sept	Product 19	15	300	247	50	61	13
Oct	Product 19	58	441	546	81	5	12
Nov	Product 19	7	210	194	31	17	6
Dec	Product 19	10	242	179	14	0	7
Jan	Product 20	281	9835	5594	845	489	1798
Feb	Product 20	289	11859	6341	988	655	2045
Mar	Product 20	342	11706	6918	985	585	2037
Apr	Product 20	208	9480	6771	758	477	2189
May	Product 20	445	10691	6458	961	564	2462
Jun	Product 20	396	10234	5691	910	528	2097
Jul	Product 20	285	9337	5958	748	359	2136
Aug	Product 20	247	8367	5773	811	407	1881
Sept	Product 20	516	15818	7483	1399	716	2519
Oct	Product 20	735	16287	7073	1145	739	2513
Nov	Product 20	396	12258	5289	689	342	2139
Dec	Product 20	436	10293	4170	593	246	1728
Jan	Product 7	81	2729	1819	183	138	700
Feb	Product 7	79	3097	1805	173	169	622
Mar	Product 7	123	3371	2060	207	176	695
Apr	Product 7	111	3559	2040	243	152	857
May	Product 7	130	4024	2136	213	158	977
Jun	Product 7	131	3426	2183	269	159	940
Jul	Product 7	89	3468	2033	199	152	742
Aug	Product 7	60	3534	2429	261	275	703
Sept	Product 7	147	4701	3002	364	337	861
Oct	Product 7	219	4599	2836	480	299	852
Nov	Product 7	86	2979	1725	176	97	608
Dec	Product 7	138	2585	1445	127	78	480
Jan	Product 9	85	3549	2533	255	313	940
Feb	Product 9	92	3489	2278	290	276	696
Mar	Product 9	79	3977	2444	313	258	904
Apr	Product 9	81	3164	2069	349	173	985
May	Product 9	101	3707	2143	285	239	1066
Jun	Product 9	195	3239	2244	279	206	927
Jul	Product 9	100	2629	1895	267	191	807
Aug	Product 9	66	1917	1164	223	146	802
Sept	Product 9	225	3366	1991	421	216	895
Oct	Product 9	255	4270	2249	320	287	934
Nov	Product 9	130	3858	2337	329	204	1212
Dec	Product 9	153	3448	2039	283	168	974
Jan	Product 6	268	7558	4425	502	437	1410
Feb	Product 6	233	8747	4622	612	547	1643
Mar	Product 6	300	8776	5594	689	552	1618
Apr	Product 6	210	7010	4398	467	408	1629
May	Product 6	366	8281	5801	644	446	2411
Jun	Product 6	393	7534	5122	664	396	1887
Jul	Product 6	282	6550	4488	493	385	1474
Aug	Product 6	154	5773	4160	530	443	1379
Sept	Product 6	399	10513	6148	925	667	1889
Oct	Product 6	532	11752	6521	951	654	1871
Nov	Product 6	361	8301	4699	560	422	1245
Dec	Product 6	336	7072	4140	403	240	1281
Jan	Product 16	375	9739	5449	582	356	1399
Feb	Product 16	337	11163	5753	586	605	1407
Mar	Product 16	434	10315	6211	764	562	1534
Apr	Product 16	249	7354	6133	659	388	1501
May	Product 16	484	9457	6672	767	517	2020
Jun	Product 16	320	9776	5953	801	509	1898
Jul	Product 16	419	8187	4594	690	273	1545
Aug	Product 16	166	7362	6078	767	475	1218
Sept	Product 16	456	12796	8144	1253	735	2027
Oct	Product 16	530	11896	7551	1324	831	2378
Nov	Product 16	342	8587	4945	711	390	1916
Dec	Product 16	280	7491	4372	483	288	1419
Jan	Product 18	51	2077	1283	237	199	313
Feb	Product 18	66	2162	1311	240	164	232
Mar	Product 18	30	2177	1471	209	162	214
Apr	Product 18	51	1720	1391	232	97	365
May	Product 18	51	2886	1890	278	183	441
Jun	Product 18	69	2774	1557	229	232	289
Jul	Product 18	63	2130	1587	250	191	221
Aug	Product 18	68	2878	2103	350	280	327
Sept	Product 18	94	3188	2362	379	243	526
Oct	Product 18	190	3591	2610	461	279	594
Nov	Product 18	97	1969	1225	214	96	417
Dec	Product 18	71	1655	1136	151	78	350
Jan	Product 10	96	3851	2403	377	236	709
Feb	Product 10	83	5088	3151	454	300	851
Mar	Product 10	82	4071	2647	511	256	832
Apr	Product 10	74	3182	2858	432	310	479
May	Product 10	93	4073	3160	366	307	512
Jun	Product 10	90	3846	2836	384	257	443
Jul	Product 10	104	3515	2957	312	211	482
Aug	Product 10	89	4066	3254	435	349	617
Sept	Product 10	195	5671	4811	782	535	964
Oct	Product 10	247	5173	3953	630	536	801
Nov	Product 10	118	3261	2149	359	231	682
Dec	Product 10	115	2548	2229	238	155	479
Jan	Product 8	870	18938	8213	652	596	4267
Feb	Product 8	851	20759	9463	724	813	4624
Mar	Product 8	927	23930	10725	1185	863	4787
Apr	Product 8	845	19607	8827	851	698	5085
May	Product 8	1336	26124	13078	1267	1041	6847
Jun	Product 8	1263	26840	14337	1415	868	6969
Jul	Product 8	1116	23713	11503	885	682	5998
Aug	Product 8	564	18942	12508	1315	1002	4829
Sept	Product 8	1482	30028	16539	1753	1489	6762
Oct	Product 8	1812	36769	17750	2170	1628	7418
Nov	Product 8	1073	22015	9722	840	536	4424
Dec	Product 8	1009	19551	7794	593	340	4394
Jan	Product 1	30	2322	1438	186	178	315
Feb	Product 1	55	2584	1460	255	149	463
Mar	Product 1	69	2748	1785	306	193	468
Apr	Product 1	28	2032	1467	238	179	497
May	Product 1	78	3222	2050	248	177	668
Jun	Product 1	73	3058	2265	286	265	614
Jul	Product 1	55	2684	2339	222	164	506
Aug	Product 1	59	3256	2457	202	237	454
Sept	Product 1	165	3506	2789	416	252	648
Oct	Product 1	142	4159	2898	385	375	913
Nov	Product 1	50	2539	1508	151	124	344
Dec	Product 1	111	2261	1464	127	153	367
Jan	Product 11	6	632	423	28	49	195
Feb	Product 11	10	722	453	29	35	125
Mar	Product 11	5	572	514	31	33	90
Apr	Product 11	7	450	446	60	34	126
May	Product 11	9	695	786	75	45	120
Jun	Product 11	12	937	542	115	48	51
Jul	Product 11	5	835	536	86	54	98
Aug	Product 11	10	1131	503	109	37	85
Sept	Product 11	15	1220	767	135	74	86
Oct	Product 11	64	1127	890	152	101	175
Nov	Product 11	18	780	499	61	30	43
Dec	Product 11	14	613	548	96	11	54
Jan	Product 5	274	9317	6846	949	725	2661
Feb	Product 5	228	10416	8312	1020	917	2790
Mar	Product 5	253	11240	8169	939	871	3049
Apr	Product 5	251	8220	7129	933	1008	2728
May	Product 5	331	12862	8766	1287	1079	3149
Jun	Product 5	309	10471	8631	1100	772	2510
Jul	Product 5	275	10961	7663	1173	660	2772
Aug	Product 5	230	10461	8207	1098	947	2715
Sept	Product 5	623	15096	10214	1609	1387	3379
Oct	Product 5	544	18471	10933	1782	1320	3901
Nov	Product 5	331	9611	6855	1014	673	2349
Dec	Product 5	384	8541	5377	823	542	2232
Jan	Product 13	193	6445	5016	862	522	2925
Feb	Product 13	220	7838	5604	653	611	2893
Mar	Product 13	174	8238	6726	849	758	3108
Apr	Product 13	146	6620	5869	888	870	2218
May	Product 13	244	8891	6377	849	734	2052
Jun	Product 13	154	7690	5596	699	594	2086
Jul	Product 13	167	7262	5576	833	476	1816
Aug	Product 13	174	6482	5686	581	533	1806
Sept	Product 13	338	8998	6577	1031	925	2472
Oct	Product 13	305	10258	7179	1176	771	2989
Nov	Product 13	178	6784	5597	599	421	2351
Dec	Product 13	254	6568	4970	485	464	2127
Jan	Product 2	6	732	840	115	42	203
Feb	Product 2	18	931	731	83	94	278
Mar	Product 2	25	1083	1002	72	68	322
Apr	Product 2	20	959	775	99	124	314
May	Product 2	22	1330	1147	108	142	313
Jun	Product 2	19	1180	925	136	54	273
Jul	Product 2	20	1165	1513	178	81	381
Aug	Product 2	20	1161	1149	88	136	320
Sept	Product 2	78	1469	1359	203	104	188
Oct	Product 2	31	1709	1089	200	106	199
Nov	Product 2	24	1037	711	78	49	155
Dec	Product 2	33	730	548	56	54	216
Jan	Product 4	85	2968	2203	340	278	741
Feb	Product 4	44	3034	2632	508	330	777
Mar	Product 4	49	3643	2970	324	341	992
Apr	Product 4	86	2518	2633	333	398	1107
May	Product 4	138	4071	3559	364	399	1085
Jun	Product 4	109	3877	2726	381	292	840
Jul	Product 4	64	3223	2778	346	232	742
Aug	Product 4	36	2236	2166	264	158	647
Sept	Product 4	136	5118	3394	501	515	897
Oct	Product 4	200	5217	4094	594	542	1192
Nov	Product 4	115	3366	2996	308	266	687
Dec	Product 4	159	3268	2463	201	249	659
Jan	Product 15	234	6619	5401	686	617	2067
Feb	Product 15	130	7399	5590	785	767	2298
Mar	Product 15	215	8339	6415	771	785	2247
Apr	Product 15	130	5922	5351	870	728	1871
May	Product 15	296	9830	7512	1058	783	2491
Jun	Product 15	234	8665	6635	963	786	2440
Jul	Product 15	181	8340	6157	727	659	2352
Aug	Product 15	177	5237	5213	620	463	2119
Sept	Product 15	353	9006	6961	1090	896	2580
Oct	Product 15	363	10861	8780	1185	1080	3216
Nov	Product 15	163	7550	5738	711	632	2095
Dec	Product 15	240	5723	4066	475	519	1832
Jan	Product 14	82	2839	2342	244	202	957
Feb	Product 14	47	2772	1877	219	235	1190
Mar	Product 14	73	3209	2536	232	286	1331
Apr	Product 14	49	2674	2368	293	258	914
May	Product 14	94	3331	3074	412	330	820
Jun	Product 14	87	3194	3093	354	340	1060
Jul	Product 14	65	3266	2662	317	216	959
Aug	Product 14	72	2266	2711	213	182	1137
Sept	Product 14	149	3845	3170	482	428	935
Oct	Product 14	129	4242	3890	698	565	1077
Nov	Product 14	81	2752	2098	224	302	839
Dec	Product 14	105	2941	1948	259	203	1159
Jan	Product 3	19	537	330	44	50	73
Feb	Product 3	31	568	399	64	41	82
Mar	Product 3	25	775	726	59	59	65
Apr	Product 3	18	505	488	63	76	70
May	Product 3	27	610	450	69	54	19
